Mercaptopurine;18910
Cyclohexanecarboxylic Acids;17495
Infusions, Intravenous;52409
Myocardial Reperfusion Injury;13348
Blood Coagulation;55928
European Union;14634
Drug-Related Side Effects and Adverse Reactions;105031
Drug Stability;42515
Tretinoin;21176
Intestinal Mucosa;71379
Asian Continental Ancestry Group;62330
Jejunum;29752
Cephalosporins;40078
Cyclooxygenase Inhibitors;20313
Trace Elements;15179
Glucosamine;13871
Evidence-Based Medicine;68015
Quinolones;42775
Sirolimus;17561
Coumarins;47382
Aspirin;42251
Dietary Supplements*;61698
Isothiocyanates;14789
Nitriles;47910
Phenylpropionates;13506
Benzofurans;30622
Methotrexate;35516
Fish Oils;24448
Fructose;15786
Vasoconstrictor Agents;21848
Fibrinolytic Agents;27742
Alcoholic Intoxication;12006
Thiazoles;86263
Vasodilator Agents;41852
Plant Oils;32283
Pyridazines;15056
Antineoplastic Agents;370250
Cyclodextrins;12546
Consumer Product Safety;14805
Fentanyl;14753
Injections, Intravenous;80384
Nutritional Status;38234
Ampicillin;25757
Colchicine;14553
Diuretics;33529
Tamoxifen;20073
Absorption;84697
Morphine;36697
Least-Squares Analysis;12168
Sulfonamides;112664
Clonidine;12995
Parkinson Disease;58300
Thiophenes;31707
Anthelmintics;19728
Dose-Response Relationship, Drug;398213
Headache;25806
Antitubercular Agents;48403
Fluoroquinolones;29772
Powders;12306
Hypercholesterolemia;24534
Citric Acid;10161
Antineoplastic Agents, Hormonal;15137
Hepatocytes;42331
Medical History Taking;20110
Polyunsaturated Alkamides;12845
Ethanol;103002
Ribavirin;10660
United States Food and Drug Administration;27112
Postoperative Hemorrhage;9541
Benzimidazoles;47311
Phytotherapy*;36605
Phytochemicals;9364
Niacinamide;13059
Double-Blind Method;145391
Hep G2 Cells;14799
Hyperalgesia;10119
Nausea;18354
Antidepressive Agents, Tricyclic;10076
Antioxidants;114997
Pyrazoles;46868
Antimetabolites, Antineoplastic;18802
Isoflavones;16718
Nutrition Assessment;13050
Patient Education as Topic;79557
Medication Adherence;14522
Contraindications;18713
Drug Combinations;82338
Antiemetics;8432
Naphthoquinones;20999
Fruit;89582
Pharmacists;14197
Angiotensin-Converting Enzyme Inhibitors;30875
Vitamin B 12 Deficiency;10794
Vegetables;28781
Alcoholic Beverages;17906
Adrenergic beta-Antagonists;39805
Chemistry, Pharmaceutical;104196
Deoxycytidine;23105
Calcium, Dietary;13535
Antibiotics, Antitubercular;15707
Zidovudine;9350
Glucosides;35023
Emulsions;19140
Bronchodilator Agents;18345
Benzhydryl Compounds;15123
Citrus*;8311
Dipyridamole;7533
Thalidomide;8147
Erythromycin;23641
Triterpenes;24608
Drug Compounding;18075
Aluminum;16418
Drug Synergism;64176
Captopril;9857
Amoxicillin;10436
Chromatography, High Pressure Liquid;173009
Acetamides;22470
Antipsychotic Agents;49631
Muscarinic Antagonists;8098
Bone Density Conservation Agents;12028
Benzophenones;6667
2-Pyridinylmethylsulfinylbenzimidazoles;10594
Mycophenolic Acid;7283
Gastric Acid;10542
Vitamins;35533
Chemical and Drug Induced Liver Injury;26905
Cimetidine;9180
Immunosuppressive Agents;90255
Morpholines;23091
Isoniazid;17939
Histamine H2 Antagonists;7035
Furosemide;11509
Quinazolines;42652
Serotonin Receptor Agonists;10109
Wine;9452
Multidrug Resistance-Associated Proteins;13666
Methylcellulose;6801
Naltrexone;7367
Piperazines;69766
Xanthine Oxidase;7290
Anticarcinogenic Agents;9701
Solubility;82882
Glucagon-Like Peptide 1;7146
Dioxoles;7110
Cardiotonic Agents;17176
Eating;67445
Vitis;7093
Enzyme Induction;32375
Oxadiazoles;8804
Drug Administration Schedule;96464
Valproic Acid;11668
Flavonoids;91285
Oxidoreductases, N-Demethylating;17180
Pharmacogenetics;10787
Antidepressive Agents;54089
Lincomycin;7135
Tandem Mass Spectrometry;37085
Estrone;9614
Dietary Fiber;17064
Antihypertensive Agents;61133
ATP Binding Cassette Transporter, Sub-Family B;18992
Benzylamines;6246
Anti-Inflammatory Agents, Non-Steroidal;76907
Adenine;22674
Capsaicin;9789
Naphthyridines;5612
Tetrazoles;27502
Quinine;6561
Maximum Tolerated Dose;5042
Enalapril;6534
Phenylurea Compounds;10043
Ethinyl Estradiol;10412
Saponins;14348
Anti-Arrhythmia Agents;26171
Lovastatin;10328
Spironolactone;6389
Inhibitory Concentration 50;22531
Receptors, Aryl Hydrocarbon;4872
Diazepam;17459
Food, Fortified;8722
Anthocyanins;5780
Antineoplastic Agents, Phytogenic;31095
Analgesics, Opioid;36573
Hydrochlorothiazide;6616
Dopamine Agonists;9435
Oils, Volatile;12142
Caffeic Acids;5093
Protein Kinase Inhibitors;37463
Ranitidine;5074
Amitriptyline;6390
Muscle Relaxants, Central;8107
Azithromycin;4500
Fluoxetine;8522
Anticholesteremic Agents;38413
Plant Preparations;194158
Hydroxylation;12228
Hypoglycemic Agents;59627
Fluorenes;8189
Gallic Acid;5592
Polyphenols;8984
Excipients;10672
Benzoxazines;4683
Hypnotics and Sedatives;27158
Xenobiotics;6760
Drug Liberation;4217
Phosphodiesterase Inhibitors;15123
Organic Anion Transporters;38869
Triazoles;33107
Drug Contamination;10204
Azetidines*;4059
Ivermectin;5668
Anti-HIV Agents;48910
Metoprolol;5204
Nootropic Agents;4368
Drug Antagonism;5130
Deamino Arginine Vasopressin;3927
Diet, High-Fat;9417
Dietary Sucrose;3913
Quinidine;6177
Histamine H1 Antagonists;15988
Biotransformation;37147
Rifampin;16604
Oxazolidinones;7872
Camptothecin;12655
Platelet Aggregation Inhibitors;32560
Antifungal Agents;51905
Phenanthrolines;4656
Levodopa;15357
Contraceptives, Oral, Combined;4605
Sildenafil Citrate;4952
Cytochrome P-450 CYP1A1;6515
Anticonvulsants;47565
Xanthones;3388
Atenolol;5033
Disulfiram;3339
Sulfotransferases;3964
Prothrombin Time;9518
Intubation, Gastrointestinal;9178
Lignans;8823
Serotonin Uptake Inhibitors;18183
Anti-Anxiety Agents;17850
Clarithromycin;5795
Indans;6729
Ibuprofen;7947
Praziquantel;3796
Dietary Fats;83835
Methylphenidate;6636
Rutin;3131
Angiotensin II Type 1 Receptor Blockers;8129
Central Nervous System Stimulants;22765
Curcumin;8018
Cyclosporine;38213
Rhabdomyolysis;6108
Food, Formulated;9412
Honey;3321
Pravastatin;3299
Aminophylline;4159
Tacrolimus;14652
Isosorbide Dinitrate;3484
Losartan;6384
Azetidines;4059
Hydralazine;4604
Antimalarials;23569
Bupropion;2823
Verapamil;17182
Sertraline;2787
Capsicum;2777
Pyridones;9719
Ephedrine;4708
Benzilates;3593
Anti-Ulcer Agents;12879
Adamantane;9571
Medicine, Chinese Traditional;15821
Amiodarone;7298
Adverse Drug Reaction Reporting Systems;6752
Proton Pump Inhibitors;9654
Enterocytes;2672
Albendazole;3998
Malus;4263
Theophylline;27827
beta-Alanine;5628
Hydroxymethylglutaryl-CoA Reductase Inhibitors;26455
Delayed-Action Preparations;43258
Ofloxacin;6610
Phenylpropanolamine;3147
Anti-Allergic Agents;7497
Drug Labeling;6275
Drug Interactions;152595
Bridged Bicyclo Compounds;4763
Antidepressive Agents, Second-Generation;6657
Metformin;10875
Drug Monitoring;18430
Oseltamivir;2593
Atorvastatin Calcium;5885
Suspensions;7253
Beverages;120944
Heptanoic Acids;6814
Artemisinins;5840
Antiparkinson Agents;11486
Oleanolic Acid;3065
Cheese;5789
Dabigatran;2352
Quercetin;8008
Drugs, Investigational;5262
Rhizome;3142
Rivaroxaban;2092
Ticlopidine;9613
Inactivation, Metabolic;6474
Glucuronides;2660
Dietary Supplements;61698
Coffee;5884
Cytochrome P-450 Enzyme System;78621
Carbamazepine;10487
Gastrointestinal Transit;4617
Gastric Emptying;9575
Carbonated Beverages;2584
Aryl Hydrocarbon Hydroxylases;23555
Ciprofloxacin;12177
Antitussive Agents;2741
Prescription Drugs;4803
Diltiazem;6067
Administration, Oral;134559
Nevirapine;2634
ATP Binding Cassette Transporter, Sub-Family G, Member 2;2629
Anticoagulants;73218
Plants, Medicinal;56753
Enteral Nutrition;18051
Caco-2 Cells;12759
Methoxsalen;2367
Food, Organic;2171
Microsomes, Liver;39002
Bornanes;2689
Metabolic Clearance Rate;22770
Medicine, African Traditional;2130
Clozapine;7606
Prodrugs;10230
Reverse Transcriptase Inhibitors;11569
Medicine, Ayurvedic;2077
Fluorobenzenes;3284
Phytoestrogens;3269
Plant Extracts;145283
Phenytoin;13221
Factor Xa Inhibitors;3553
Rosuvastatin Calcium;2133
Flurbiprofen;1794
Calcium Channel Blockers;35654
Ketoconazole;5403
Amlodipine;3494
Catechin;8409
Aluminum Hydroxide;3532
Griseofulvin;3044
Phenacetin;2277
Diclofenac;7099
Berberine;2510
Acetaminophen;16529
Digoxin;12082
Cytochrome P-450 CYP2E1;3311
Polypharmacy;3885
Diterpenes, Abietane;2010
Tea;8707
Healthy Volunteers;10652
Simvastatin;7089
Tolbutamide;5219
Nifedipine;15337
Omeprazole;9143
Phenelzine;1340
Nonprescription Drugs;5718
Cisapride;1452
Naproxen;3824
Buspirone;1841
Half-Life;40145
Caffeine;22022
Ketoprofen;2571
Fenofibrate;2439
Lopinavir;1536
Capsules;11638
Vitamin K 1;1497
Phloroglucinol;2478
Ginsenosides;3210
Alprazolam;1713
Vitamin K;15525
Tablets;22645
Antacids;6157
Curcuma;1531
1-Deoxynojirimycin;1273
HIV Integrase Inhibitors;1607
Selegiline;2289
Glucuronosyltransferase;7034
Silymarin;2588
Dipeptidyl-Peptidase IV Inhibitors;3031
Intestinal Absorption;42600
Tablets, Enteric-Coated;2281
Dihydroergotamine;1385
Glycyrrhizic Acid;1477
Kaempferols;1473
Drugs, Chinese Herbal;37053
Postprandial Period;8626
Perylene;2057
Didanosine;1944
Tranylcypromine;1733
Self Medication;4441
Tyramine;6794
Histamine H1 Antagonists, Non-Sedating;952
Cytochrome P-450 CYP2D6;3901
Rabeprazole;918
Ergotamine;2290
Steroid 16-alpha-Hydroxylase;986
Fasting;32741
Organic Anion Transporters, Sodium-Independent;1580
Biopharmaceutics;2533
HIV Protease Inhibitors;9745
Bromobenzenes;851
Acenocoumarol;1262
Cytochrome P-450 CYP2C19;2508
Itraconazole;5252
Flavanones;4873
Glycyrrhiza;2460
Furocoumarins;5719
Nelfinavir;1070
Midazolam;8224
Cinnarizine;746
Oxycodone;1907
Phytotherapy;36605
Monoamine Oxidase Inhibitors;9806
Ritonavir;3817
ATP-Binding Cassette, Sub-Family B, Member 1;14883
Darunavir;736
Salvia miltiorrhiza;1582
Therapeutic Equivalency;6886
Panax;4904
Ceftizoxime;1116
Hydromorphone;1165
Garlic;3174
Nadolol;788
Ginger;1251
Citrus sinensis;1527
International Normalized Ratio;4857
Cross-Over Studies;42677
Moclobemide;669
Schisandra;640
Triazolam;1222
Fruit and Vegetable Juices;789
Warfarin;17682
Medicine, Kampo;568
Area Under Curve;35182
Dextromethorphan;1733
Cytochrome P-450 CYP2C9;2241
Cytochrome P-450 CYP1A2;2848
Biological Availability;36049
Cytochrome P-450 Enzyme Inhibitors;7462
Indinavir;1699
Punicaceae;1066
Saquinavir;1270
Metabolic Detoxication, Phase I;363
Nisoldipine;747
Serotonin Syndrome;784
Citrus;8311
Valerian;669
Cytochrome P-450 CYP2D6 Inhibitors;569
Ergotism;514
Cimicifuga;513
Ginkgo biloba;2611
Herbal Medicine;1822
Echinacea;724
Cytochrome P-450 CYP3A;7756
Milk Thistle;442
Chlorzoxazone;419
Vaccinium macrocarpon;710
Cytochrome P-450 CYP1A2 Inhibitors;371
Celiprolol;386
Terfenadine;1541
Felodipine;1178
Kava;466
Cytochrome P-450 CYP3A Inhibitors;1131
Hypericum;2025
Hydrastis;82
Citrus paradisi;652
Herb-Drug Interactions;1399
Food-Drug Interactions;2245
